#,In cue,Out cue,Duration,Speaker,Dialogue,Annotations,Error Type,Segment,Selectable,ASSENT,CAUSE,CERTITUDE,COGNITION,COGPROC,FOCUSFUTURE,FOCUSPAST,FOCUSPRESENT,PRONOUN,SOCIAL,TENTAT,TIME
62,03:17:23,03:20:13,00:00:02:20,Student 1,One square. We don't know how much is three squares.,,,a,yes,0,1,0,2,2,0,0,2,0,0,0,0
63,03:20:13,03:23:26,00:00:03:13,Student 3,so establish the triangle heavier than the triangle.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
64,03:25:05,03:30:17,00:00:05:12,Student 1,"But that could also be two squares isn't heavier, three squares isn't heavier than the triangle. So. Yeah.",,,a,yes,0,0,0,4,4,0,0,2,1,0,0,0
65,03:31:02,03:32:19,00:00:01:17,Student 2,Or circle and square is not heavier.,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
66,03:32:21,03:33:14,00:00:00:23,Student 1,Could be. Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
67,03:35:15,03:37:06,00:00:01:21,Student 2,"Both of them cannot be, cannot be.",,,a,yes,0,0,0,2,2,0,0,2,1,1,0,0
68,03:37:16,03:38:23,00:00:01:07,Student 1,Both cannot be possible.,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
69,03:39:27,03:40:11,00:00:00:14,Student 2,Mm.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
70,03:45:15,03:47:19,00:00:02:04,Student 2,I guess the circle cannot be heavier.,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
71,03:48:07,03:51:19,00:00:03:12,Student 1,Yeah. There's no one here. than the triangle. Than the triangle.,,,a,yes,0,0,0,2,1,0,0,0,0,0,0,0
72,03:53:29,03:57:07,00:00:03:08,Student 2,circle cannot be heavier.,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
73,03:57:16,04:00:24,00:00:03:08,Student 1,And I'm like tempted to start assigning values to the numbers.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,1
74,04:01:13,04:01:29,00:00:00:16,Student 2,I was going to say the same thing.,,,a,yes,0,0,0,1,1,1,1,0,0,1,0,0
75,04:02:00,04:03:21,00:00:01:21,Student 1,Yeah. Like I'm wondering in my head too.,,,a,yes,0,0,0,1,1,0,0,0,1,0,1,0
76,04:03:21,04:09:07,00:00:05:16,Student 2,"Like, um, we're making the assumption all the squares are equal weight.",,,a,yes,0,1,0,2,1,0,0,2,1,1,0,0
77,04:10:14,04:13:00,00:00:02:16,Student 1,"Well, it said that, yeah, all the squares weigh the same. Yeah.",,,a,yes,0,0,0,1,0,0,1,0,1,1,0,0
78,04:13:00,04:13:20,00:00:00:20,Student 2,"Okay, right.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
79,04:14:14,04:18:00,00:00:03:16,Student 1,"Cuz I'm like, already I'm like, oh, if the triangle's 10 then each square is three.",,,a,yes,0,0,0,1,1,0,1,1,0,0,1,2
80,04:18:00,04:22:15,00:00:04:15,Student 3,"We do that's what I thought. this is then, this is this would be two, two and two. Six and this would be four.",,,a,yes,0,0,0,2,2,0,0,3,6,0,0,0
81,04:22:15,04:25:06,00:00:02:21,Student 1,and this would be four. three times something plus one equals that.,,,a,yes,0,0,0,1,1,0,0,0,1,0,0,0
82,04:25:27,04:27:12,00:00:01:15,Student 2,"Oh, yeah. I see you just saying that.",,,a,yes,0,0,0,0,0,0,0,0,1,2,0,0
83,04:27:12,04:29:21,00:00:02:09,Student 1,"I'm getting out of it. Could you make an, could you make an equation out of it?",,,a,yes,0,2,0,3,3,0,0,0,2,2,0,0
84,04:30:02,04:31:21,00:00:01:19,Student 2,Which is wild cuz I never do that.,,,a,yes,0,1,0,2,1,0,0,1,0,0,0,1
85,04:31:21,04:34:25,00:00:03:04,Student 1,"I'm like elementary all the way. Yeah, a triangle is the same.",,,a,yes,0,0,0,1,0,0,0,1,0,0,0,0
86,04:35:10,04:37:28,00:00:02:18,Student 2,Triangle is equal to 3S plus C equals T.,,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
87,04:38:09,04:39:13,00:00:01:04,Student 1,Yeah. Yeah. That could be.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
88,04:40:02,04:42:25,00:00:02:23,Student 3,Right. Must be. I'm like influenced by middle school over here.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
89,04:42:25,04:44:26,00:00:02:01,Student 1,That. Robs off.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
90,04:44:26,04:45:10,00:00:00:14,Student 2,Right.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
91,04:45:10,04:47:20,00:00:02:10,Student 1,And the second you go to stop throwing things at right.,,,a,yes,0,0,0,0,0,0,0,0,1,1,0,1
92,04:48:29,04:51:17,00:00:02:18,Student 3,T is greater than S.,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
93,04:51:17,04:52:16,00:00:01:00,Student 1,Yeah. Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
94,04:52:16,04:55:18,00:00:03:02,Student 3,T is greater than. Which would also mean S is less than T.,,,a,yes,0,0,0,3,3,0,0,2,0,0,0,0
95,04:58:24,04:59:16,00:00:00:22,Student 1,This could be,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
96,04:59:26,05:07:05,00:00:07:09,Student 3,"This could also be, this this could this this could be greater than or equal to or less than or equal to. the ratio of the Because",,,a,yes,0,0,0,8,8,0,0,0,4,0,3,0
97,05:08:14,05:09:09,00:00:00:25,Student 1,"Wait, say that again?",,,a,yes,0,0,0,0,0,0,0,0,1,1,0,0
98,05:09:09,05:14:26,00:00:05:17,Student 3,"I mean, this could this this you could also have a an inequality here. It could be an equal to.",,,a,yes,0,0,0,3,3,0,0,0,4,1,0,0
99,05:15:02,05:16:11,00:00:01:09,Student 1,"How? Yeah, how would that work?",,,a,yes,0,1,0,2,2,0,0,0,1,0,0,0
100,05:16:11,05:19:07,00:00:02:26,Student 3,Cuz all of this is equal to the triangle.,,,a,yes,0,0,0,1,0,0,0,1,1,0,0,0
101,05:19:15,05:19:25,00:00:00:10,Student 1,Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
102,05:20:09,05:23:25,00:00:03:16,Student 3,So what would it look like if you rewrote it with an inequality?,,,a,yes,0,0,0,2,2,0,0,0,4,1,1,0
103,05:24:19,05:35:10,00:00:10:21,Student 1,"Uh. The triangle, triangle could be greater than or equal to or the triangle could be less than or equal to because it has it has an equal to value in it.",,,a,yes,0,1,0,8,8,0,0,2,2,0,3,0
104,05:35:10,05:38:29,00:00:03:19,Student 3,Wouldn't it have to be equal though? Because the picture is balanced.,,,a,yes,0,0,0,0,0,0,0,1,1,0,0,0
105,05:40:24,05:41:22,00:00:00:28,Student 1,Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
106,05:42:24,05:45:26,00:00:03:02,Student 3,"I mean technically though, technically you could be a",,,a,yes,0,0,0,2,2,0,0,0,1,1,0,0
107,05:46:25,05:51:17,00:00:04:22,Student 1,"You're saying it you could say you could have a you could have a true, maybe it could be a truth that this could be, this side could",,,a,yes,0,0,0,7,7,0,0,0,8,5,1,0
108,05:53:23,05:56:19,00:00:02:26,Student 3,could be less than or equal to because it's equal to.,,,a,yes,0,1,0,4,4,0,0,1,1,0,1,0
109,05:56:29,06:01:24,00:00:04:25,Student 1,"But if it was less than, wouldn't the triangle still be down lower?",,,a,yes,0,0,0,2,2,0,1,0,1,0,1,0
110,06:02:18,06:07:23,00:00:05:05,Student 3,Because in the picture they're it's equal. The picture says it's equal to but you could also you could you could have an inequality that would,,,a,yes,0,0,0,5,5,0,0,4,7,5,0,0
111,06:11:13,06:14:14,00:00:03:01,Student 1,suffice an equal you could equal values.,,,a,yes,0,0,0,1,1,0,0,0,1,1,0,0
112,06:14:28,06:16:20,00:00:01:22,Student 3,If you're assigning values.,,,a,yes,0,0,0,0,0,0,0,1,1,1,0,0
113,06:17:15,06:18:14,00:00:00:29,Student 1,Maybe.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
114,06:18:29,06:24:24,00:00:05:25,Student 2,"I think that equation might work if we were saying, I don't know.",,,a,yes,0,0,0,3,3,1,1,1,2,1,2,0
115,06:24:28,06:29:26,00:00:04:28,Student 1,"Like this, this one would would not have an equal value cuz it's not equal.",,,a,yes,0,1,0,5,5,0,0,1,2,0,0,0
116,06:30:17,06:32:27,00:00:02:10,Student 2,I'm curious if we could do what you're talking about with just this side.,,,a,yes,0,0,0,2,2,0,0,1,4,3,1,0
117,06:32:27,06:33:14,00:00:00:17,Student 1,giving you,,,a,yes,0,0,0,0,0,0,0,0,1,1,0,0
118,06:33:14,06:39:23,00:00:06:09,Student 2,So like theoretically can we say three squares are greater than or equal to but we we don't know. We don't know.,,,a,yes,0,0,0,4,4,0,0,4,3,4,1,0
119,06:39:23,06:44:27,00:00:05:04,Student 1,We don't know if they're greater than or equal to or less than or equal to the circle.,,,a,yes,0,0,0,7,7,0,0,2,1,1,4,0
120,06:45:07,06:46:27,00:00:01:20,Student 3,circle.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
121,06:50:24,06:51:19,00:00:00:25,Student 1,The side can,,,a,yes,0,0,0,1,1,0,0,1,0,0,0,0
122,06:52:13,06:56:22,00:00:04:09,Student 3,"the side can have an inequality but the side is an equal, it has equality.",,,a,yes,0,0,0,2,2,0,0,3,1,0,0,0
123,06:57:07,06:58:14,00:00:01:07,Student 1,Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
124,07:03:22,07:05:22,00:00:02:00,Student 2,One thing that must be true.,,,a,yes,0,0,0,1,1,0,0,0,1,0,0,0
125,07:05:28,07:06:13,00:00:00:15,Student 1,We got that one.,,,a,yes,0,0,0,0,0,0,0,0,1,0,0,0
126,07:06:13,07:08:08,00:00:01:25,Student 2,One thing that could must be true. Okay.,,,a,yes,0,0,0,2,2,0,0,0,1,0,0,0
127,07:09:12,07:12:21,00:00:03:09,Student 1,And one thing that cannot possibly be true.,,,a,yes,0,0,0,2,2,0,0,1,1,0,1,0
128,07:15:00,07:16:21,00:00:01:21,Student 2,The trapezoid equals a circle.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
129,07:16:21,07:18:02,00:00:01:11,Student 1,Take about one more minute.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
130,07:18:13,07:19:19,00:00:01:06,Student 3,there's no trapezoid.,,,a,yes,0,0,0,1,0,0,0,1,0,0,0,0
131,07:20:00,07:23:05,00:00:03:05,Student 2,"Oh, I was like, wait a second.",,,a,yes,0,0,0,0,0,0,1,0,0,0,0,1
132,07:23:29,07:31:21,00:00:07:22,Student 1,"That also could be like the triangle, if the triangle's 10, then the circle could be seven and these could each be one.",,,a,yes,0,0,0,4,4,0,0,0,1,0,1,1
133,07:32:11,07:35:16,00:00:03:05,Student 2,Okay. Like any combination that makes.,,,a,yes,0,0,0,1,1,0,0,0,1,0,1,0
134,07:35:16,07:37:25,00:00:02:09,Student 1,So the circle could be bigger than,,,a,yes,0,0,0,2,2,0,0,0,0,0,0,0
135,07:37:25,07:40:24,00:00:02:29,Student 3,Yeah. And these could be two each and then you could have four for this.,,,a,yes,0,0,0,2,2,0,0,0,2,1,0,1
136,07:40:24,07:41:20,00:00:00:26,Student 1,Uh-huh.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
137,07:45:10,07:54:05,00:00:08:25,Student 3,"So you're saying that, um, you're saying that these have to these have to combine to an equal number. Yeah.",,,a,yes,0,0,0,0,0,0,0,2,5,4,0,0
138,07:54:13,07:58:24,00:00:04:11,Student 1,whether it's 10 or whatever number. Yes. Whatever value you give the triangle. How do we know they're even integers?,,,a,yes,0,0,0,3,3,0,0,3,5,4,1,0
139,07:58:24,08:00:23,00:00:01:29,Student 3,"I mean, that Well, there you go.",,,a,yes,0,0,0,0,0,0,0,0,2,1,0,0
140,08:00:23,08:02:27,00:00:02:04,Student 1,they could be like decimals or something.,,,a,yes,0,0,0,2,2,0,0,0,1,1,1,0
141,08:02:27,08:03:19,00:00:00:22,Student 3,"Could be, could be.",,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
142,08:03:25,08:05:07,00:00:01:12,Student 1,Yeah. That could be true. It could be,,,a,yes,0,0,0,2,2,0,0,0,0,0,0,0
143,08:05:13,08:07:12,00:00:01:29,Student 3,Are they positive or are they negative? We don't know.,,,a,yes,0,0,0,1,1,0,0,2,2,2,1,0
144,08:08:06,08:08:25,00:00:00:19,Student 2,"Oh, that's interesting.",,,a,yes,0,0,0,0,0,0,0,1,1,0,0,0
145,08:08:29,08:10:29,00:00:02:00,Student 1,Ooh. It just got interesting.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
146,08:11:11,08:12:12,00:00:01:01,Student 2,That is very interesting.,,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
147,08:12:21,08:16:04,00:00:03:13,Student 1,"Ooh. Well, the",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
148,08:18:03,08:22:28,00:00:04:25,Student 3,Do we know if they if they have to be positive? Do we know if the triangle has to be positive?,,,a,yes,0,0,0,5,5,0,0,1,4,4,3,0
149,08:23:09,08:25:01,00:00:01:22,Student 1,"Oh, it doesn't say that. No, it doesn't say that.",,,a,yes,0,0,0,0,0,0,0,2,2,2,0,0
150,08:25:17,08:30:08,00:00:04:21,Student 3,"So it could be true that they're all negative, or that some are negative and some are positive.",,,a,yes,0,0,0,4,3,0,0,3,4,1,1,0
151,08:33:04,08:37:16,00:00:04:12,Student 2,"it has to be if the triangle is negative, that all of these triangle would be the same on the square.",,,a,yes,0,0,0,4,3,0,0,2,3,0,1,0
152,08:38:09,08:41:09,00:00:03:00,Student 1,"If the triangle is negative, these all have to be negative.",,,a,yes,0,0,0,1,0,0,0,1,1,0,0,0
153,08:42:06,08:42:25,00:00:00:19,Student 2,Mmm.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
