#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,Selectable
32,00:01:16:19,00:01:17:27,00:00:01:08,Student 1,English,Can somebody help me?,,,b,yes
33,00:01:17:29,00:01:19:02,00:00:01:03,Student 4,English,"So, you go like this.",,,b,yes
34,00:01:20:08,00:01:25:04,00:00:04:26,Student 4,English,I'll draw it upside down but then you turn it around to see it.,,,b,yes
35,00:01:25:06,00:01:27:07,00:00:02:01,Student 4,English,So that's like...,,,b,yes
36,00:01:30:05,00:01:31:05,00:00:01:00,Student 1,English,Are you drawing a face?,,,b,yes
37,00:01:31:09,00:01:31:26,00:00:00:17,Student 4,English,Yes.,,,b,yes
38,00:01:33:04,00:01:35:11,00:00:02:07,Student 1,English,"Wait, what the heck?",,,b,yes
39,00:01:35:12,00:01:36:11,00:00:00:29,Student 4,English,I'll try it.,,,b,yes
40,00:01:36:28,00:01:38:24,00:00:01:26,Student 1,English,But what's going on for this?,,,b,yes
41,00:01:42:04,00:01:45:11,00:00:03:07,Student 4,English,"Okay, see and then you have to have the head sticking out of the hair.",,,b,yes
42,00:01:45:15,00:01:46:19,00:00:01:04,Student 1,English,I'm so confused.,,,b,yes
43,00:01:46:24,00:01:48:17,00:00:01:23,Student 4,English,"So, look.",,,b,yes
44,00:01:50:17,00:01:54:06,00:00:03:19,Student 4,English,It's two and then we have to write XYZ.,,,b,yes
45,00:01:54:08,00:01:56:07,00:00:01:29,Student 4,English,We have to match it up with one of these.,,,b,yes
46,00:01:56:11,00:02:04:04,00:00:07:21,Student 4,English,"We know it's not this one because like there's no two separate, you know?",,,b,yes
47,00:02:04:14,00:02:09:14,00:00:05:00,Student 4,English,How many is there on this?,,,b,yes
48,00:02:10:20,00:02:13:27,00:00:03:07,Student 1,English,"There is one, two, three, four, five, six, seven.",,,b,yes
49,00:02:13:29,00:02:14:14,00:00:00:15,Student 4,English,Seven.,,,b,yes
50,00:02:14:16,00:02:20:09,00:00:05:23,Student 4,English,"So the equation has to start with seven because this is on this side, the starting side.",,,b,yes
51,00:02:20:11,00:02:21:00,00:00:00:19,Student 1,English,So this one?,,,b,yes
52,00:02:21:03,00:02:21:27,00:00:00:24,Student 4,English,It would be that one.,,,b,yes
53,00:02:22:05,00:02:30:00,00:00:07:25,Student 4,English,I'd make sense if it were because there's three...,,,b,yes
54,00:02:30:02,00:02:31:04,00:00:01:02,Student 1,English,"There's three W,",,,b,yes
55,00:02:31:06,00:02:34:01,00:00:02:25,Student 4,English,"So W go there, plus one.",,,b,yes
56,00:02:34:06,00:02:35:24,00:00:01:18,Student 4,English,W would go there.,,,b,yes
57,00:02:37:26,00:02:39:17,00:00:01:21,Student 1,English,Why wouldn't W...,,,b,yes
58,00:02:39:21,00:02:41:19,00:00:01:28,Student 1,English,Because there is no W in all the other ones.,,,b,yes
59,00:02:41:21,00:02:42:01,00:00:00:10,Student 4,English,Yes.,,,b,yes
60,00:02:43:18,00:02:53:13,00:00:09:25,Student 4,English,"Okay, then here it starts with two Zs, so whatever one we do it has to be...",,,b,yes
61,00:02:53:15,00:02:55:26,00:00:02:11,Student 1,English,"One, two, three, four, five.",,,b,yes
62,00:02:55:28,00:02:56:11,00:00:00:13,Student 4,English,Yes.,,,b,yes
63,00:02:57:06,00:02:59:06,00:00:02:00,Student 1,English,So are these two the same?,,,b,yes
64,00:02:59:11,00:03:02:07,00:00:02:24,Student 4,English,"No, it's like...",,,b,yes
65,00:03:02:10,00:03:05:01,00:00:02:21,Student 4,English,Don't worry about the balance of it right now.,,,b,yes
66,00:03:05:07,00:03:13:14,00:00:08:07,Student 4,English,So it starts with two and then it goes to separate things but we know it has to start with two.,,,b,yes
67,00:03:13:16,00:03:15:24,00:00:02:08,Student 1,English,So this one would be Z?,,,b,yes
68,00:03:15:26,00:03:16:08,00:00:00:12,Student 4,English,Yes.,,,b,yes
69,00:03:17:11,00:03:18:16,00:00:01:05,Student 4,English,And then we know...,,,b,yes
70,00:03:18:19,00:03:27:23,00:00:09:04,Student 1,English,"This one starts with three so it'd go there, x, and then starts with six...",,,b,yes
71,00:03:27:25,00:03:28:25,00:00:01:00,Student 1,English,"Thank you, [Student 4].",,,b,
72,00:03:29:11,00:03:31:24,00:00:02:13,Student 4,English,[unintelligible],,,b,
73,00:03:34:03,00:03:43:10,00:00:09:07,Teacher,English,"I want you, guys, also in addition to writing the answers up here, I want you to write your equations under.",,,b,
74,00:03:43:12,00:03:47:05,00:00:03:23,Teacher,English,"So let's just get these answers out of the way, because that's the not important  part.",,,b,
75,00:03:48:08,00:03:49:07,00:00:00:29,Teacher,English,Exactly.,,,b,
76,00:03:49:19,00:03:52:26,00:00:03:07,Teacher,English,"The important part is the understanding, so let's get the answers, ready?",,,b,
77,00:03:52:28,00:03:54:04,00:00:01:06,Teacher,English,What goes here?,,,b,
78,00:03:55:20,00:03:56:17,00:00:00:27,Teacher,English,"X, thank you.",,,b,
1,00:00:00:20,00:00:13:16,00:00:12:26,Teacher,English,"Manipulate the actual hangers and I want for B, C and D, I want you guys to work in partners and make sure your hangers are at [unintelligible].",,,c,
2,00:00:13:24,00:00:15:27,00:00:02:03,Teacher,English,So talk to your partner.,,,c,
3,00:00:18:14,00:00:19:00,00:00:00:16,Teacher,English,Cool.,,,c,
4,00:00:19:01,00:00:21:18,00:00:02:17,Teacher,English,I want to see you guys...,,,c,
5,00:00:25:27,00:00:26:17,00:00:00:20,Student 1,English,Yes.,,,c,
6,00:00:26:19,00:00:31:10,00:00:04:21,Teacher,English,"You can check in as a team but I do want you explaining it one by one with your partner, okay?",,,c,
7,00:00:31:11,00:00:33:25,00:00:02:14,Teacher,English,Go ahead and do this for B.,,,c,
8,00:00:33:26,00:00:34:08,00:00:00:12,Teacher,English,Go.,,,c,
9,00:00:34:10,00:00:38:11,00:00:04:01,Student 1,English,Why don't we just do it all and then just check all of us together?,,,c,yes
10,00:00:40:05,00:00:41:00,00:00:00:25,Student 4,English,"Yes, let's do that.",,,c,yes
11,00:00:41:05,00:00:43:11,00:00:02:06,Student 1,English,So everybody do it and then we'll just check at the end.,,,c,yes
12,00:00:43:25,00:00:45:00,00:00:01:05,Student 3,English,And when she comes down we would be like...,,,c,yes
13,00:00:45:02,00:00:45:24,00:00:00:22,Student 1,English,I mean...,,,c,yes
14,00:00:53:20,00:00:56:17,00:00:02:27,Student 4,English,I forgot there's a camera!,,,c,yes
15,00:01:01:24,00:01:02:22,00:00:00:28,Student 3,English,"Okay, what do we do?",,,c,yes
16,00:01:02:23,00:01:04:06,00:00:01:13,Student 1,English,"Okay, everybody just do B.",,,c,yes
17,00:01:06:23,00:01:07:07,00:00:00:14,Student 1,English,So...,,,c,yes
18,00:01:07:10,00:01:12:14,00:00:05:04,Student 4,English,"So, one and one go together, one and one go together, one and one go together.",,,c,yes
19,00:01:12:15,00:01:13:19,00:00:01:04,Student 1,English,So each Z is one.,,,c,yes
20,00:01:13:21,00:01:14:03,00:00:00:12,Student 4,English,Yes.,,,c,yes
21,00:01:15:01,00:01:16:04,00:00:01:03,Student 1,English,Z equals one.,,,c,yes
22,00:01:16:28,00:01:18:11,00:00:01:13,Student 4,English,But we don't know that yet.,,,c,yes
23,00:01:18:13,00:01:21:08,00:00:02:25,Student 4,English,"I mean we do know that, it's obvious, but it has to be our last thing.",,,c,yes
24,00:01:21:27,00:01:22:17,00:00:00:20,Student 1,English,Seven...,,,c,yes
25,00:01:23:09,00:01:24:05,00:00:00:26,Student 3,English,[unintelligible],,,c,
26,00:01:25:00,00:01:25:17,00:00:00:17,Student 1,English,"I know, same.",,,c,yes
27,00:01:27:00,00:01:29:20,00:00:02:20,Student 4,English,So we have...,,,c,yes
28,00:01:29:29,00:01:32:02,00:00:02:03,Student 1,English,"Seven, no, not seven.",,,c,yes
29,00:01:32:04,00:01:33:15,00:00:01:11,Student 4,English,So...,,,c,yes
30,00:01:34:01,00:01:34:20,00:00:00:19,Student 3,English,Three equals...,,,c,yes
31,00:01:34:22,00:01:35:07,00:00:00:15,Student 1,English,"Guys, what the heck?",,,c,yes
32,00:01:35:27,00:01:36:10,00:00:00:13,Student 4,English,No.,,,c,yes
33,00:01:37:01,00:01:37:23,00:00:00:22,Student 1,English,Two equals...,,,c,yes
34,00:01:37:24,00:01:40:16,00:00:02:22,Student 4,English,Two Z plus 3 equals 6.,,,c,yes
35,00:01:41:21,00:01:42:03,00:00:00:12,Student 3,English,What?,,,c,yes
36,00:01:43:07,00:01:44:11,00:00:01:04,Student 1,English,"I don't get it either, but...",,,c,yes
37,00:01:46:24,00:01:49:03,00:00:02:09,Student 1,English,Why can't I try two equals one?,,,c,yes
38,00:01:49:23,00:01:50:24,00:00:01:01,Student 1,English,"I mean, Z equals...",,,c,yes
39,00:01:52:01,00:01:53:25,00:00:01:24,Student 3,English,"Wait, two Z plus three equals...",,,c,yes
40,00:01:53:28,00:01:55:14,00:00:01:16,Student 3,English,That makes sense.,,,c,yes
41,00:01:57:22,00:01:59:02,00:00:01:10,Student 4,English,Equals five.,,,c,yes
42,00:02:00:05,00:02:03:10,00:00:03:05,Student 4,English,And then we have to do the thing where -1...,,,c,yes
43,00:02:03:12,00:02:04:07,00:00:00:25,Student 3,English,Why do we -1?,,,c,yes
44,00:02:04:13,00:02:05:25,00:00:01:12,Student 4,English,I don't know.,,,c,yes
45,00:02:06:09,00:02:08:11,00:00:02:02,Student 3,English,-1 from the answer?,,,c,yes
46,00:02:09:06,00:02:10:01,00:00:00:25,Student 3,English,And then...,,,c,yes
47,00:02:10:03,00:02:10:18,00:00:00:15,Student 4,English,"Wait, that's not...",,,c,yes
48,00:02:11:18,00:02:12:14,00:00:00:26,Student 3,English,And this...,,,c,yes
49,00:02:16:00,00:02:18:16,00:00:02:16,Student 4,English,So it's one Z...,,,c,yes
50,00:02:22:20,00:02:23:08,00:00:00:18,Student 4,English,The heck...,,,c,yes
51,00:02:24:06,00:02:25:11,00:00:01:05,Student 1,English,What the heck?,,,c,yes
52,00:02:27:07,00:02:29:02,00:00:01:25,Student 3,English,Why don't I cross this one...,,,c,yes
53,00:02:29:05,00:02:30:13,00:00:01:08,Student 1,English,"I'm just writing the answers, I don't know the rest.",,,c,yes
54,00:02:30:16,00:02:37:28,00:00:07:12,Student 4,English,"You cross that out because it was one minus one, so there's nothing there.",,,c,yes
55,00:02:42:07,00:02:47:00,00:00:04:23,Student 4,English,"In this equation, you minus one from minus one, so it's zero.",,,c,yes
56,00:02:50:05,00:02:51:19,00:00:01:14,Student 4,English,"Okay, let's just do C now.",,,c,yes
57,00:02:51:20,00:02:52:16,00:00:00:26,Student 1,English,I was singing that song this morning and [unintelligible].,,,c,
58,00:02:52:17,00:02:53:15,00:00:00:28,Student 3,English,"Wait, wait, wait.",,,c,yes
59,00:02:53:16,00:02:54:14,00:00:00:28,Student 4,English,3x...,,,c,yes
60,00:02:54:16,00:02:56:06,00:00:01:20,Student 3,English,"So now, what is it now?",,,c,yes
61,00:02:56:08,00:02:59:25,00:00:03:17,Student 4,English,3x plus 2 equals three.,,,c,yes
62,00:03:03:24,00:03:06:09,00:00:02:15,Student 3,English,"Wait, why did you write one equals seven?",,,c,yes
63,00:03:09:05,00:03:10:26,00:00:01:21,Student 4,English,I don't know why I wrote that.,,,c,yes
64,00:03:12:17,00:03:13:16,00:00:00:29,Student 4,English,I've no idea why...,,,c,yes
65,00:03:13:17,00:03:14:16,00:00:00:29,Student 3,English,Z equals 1?,,,c,yes
66,00:03:16:04,00:03:22:19,00:00:06:15,Student 1,English,"I just wrote what they all equal, I don't know how to explain the other stuff.",,,c,yes
67,00:03:23:13,00:03:25:01,00:00:01:18,Student 3,English,"Yes, I just understand it.",,,c,yes
68,00:03:25:02,00:03:28:21,00:00:03:19,Student 1,English,"Yes, I don't know how to write all of this.",,,c,yes
69,00:03:30:10,00:03:35:25,00:00:05:15,Student 3,English,"Wait, so each X is 0.33?",,,c,yes
70,00:03:36:14,00:03:38:28,00:00:02:14,Student 4,English,"I don't know the math, but...",,,c,yes
71,00:03:39:00,00:03:39:18,00:00:00:18,Student 1,English,I did one third.,,,c,yes
72,00:03:40:21,00:03:41:11,00:00:00:20,Student 4,English,One third.,,,c,yes
73,00:03:44:13,00:03:45:14,00:00:01:01,Student 4,English,What is it?,,,c,yes
74,00:03:45:20,00:03:47:24,00:00:02:04,Student 1,English,"I did one third, I didn't do anything else.",,,c,yes
75,00:03:48:24,00:03:55:09,00:00:06:15,Student 1,English,"I just wrote one equals 1.5, x equals one third and Z equals one.",,,c,yes
76,00:03:55:11,00:03:57:22,00:00:02:11,Student 3,English,Two equals W...,,,c,yes
77,00:03:57:24,00:04:02:19,00:00:04:23,Student 1,English,"I don't care anymore because I don't know how to do it, so I'm just not gonna.",,,c,yes
78,00:04:03:13,00:04:07:05,00:00:03:22,Student 1,English,"I don't care, I'm being rebel and going against the cameras.",,,c,yes
79,00:04:07:26,00:04:20:01,00:00:12:05,Student 4,English,"Okay, six equals two y plus three.",,,c,yes
80,00:04:22:13,00:04:24:02,00:00:01:19,Student 1,English,How are you guys getting all this?,,,c,yes
81,00:04:27:04,00:04:33:24,00:00:06:20,Student 1,English,So this is six and there's three and two left.,,,c,yes
82,00:04:34:09,00:04:35:24,00:00:01:15,Student 3,English,So it's three divided by two.,,,c,yes
83,00:04:35:28,00:04:37:16,00:00:01:18,Student 1,English,Six equals...,,,c,yes
84,00:04:37:27,00:04:39:09,00:00:01:12,Student 3,English,"Wait, is it three divided by two?",,,c,yes
85,00:04:49:09,00:04:50:25,00:00:01:16,Student 4,English,So y equals one and a half.,,,c,yes
86,00:04:51:06,00:04:51:28,00:00:00:22,Student 4,English,One...,,,c,yes
87,00:04:52:09,00:04:52:27,00:00:00:18,Student 1,English,It's like half...,,,c,yes
88,00:04:58:03,00:04:59:05,00:00:01:02,Student 1,English,And I'm wearing a Barcelona shirt.,,,c,
89,00:04:59:07,00:04:59:18,00:00:00:11,Student 4,English,Guys!,,,c,
90,00:04:59:27,00:05:00:29,00:00:01:00,Student 1,English,It's actually my brother's.,,,c,
91,00:05:01:07,00:05:02:24,00:00:01:17,Student 4,English,"Look, look, look!",,,c,
92,00:05:03:01,00:05:06:08,00:00:03:07,Student 1,English,My brother has two Barcelona jerseys so I just took one from him.,,,c,
93,00:05:06:12,00:05:09:17,00:00:03:05,Student 1,English,"Yes, I just did 1.5 because...",,,c,yes
94,00:05:09:19,00:05:10:23,00:00:01:04,Student 3,English,"Wait, how did you get that?",,,c,yes
95,00:05:11:09,00:05:17:25,00:00:06:16,Student 4,English,"Because I just kept going, one and one.",,,c,yes
96,00:05:23:05,00:05:23:18,00:00:00:13,Student 3,English,Got it.,,,c,yes
97,00:05:25:23,00:05:26:28,00:00:01:05,Student 3,English,Now I need to do the equation.,,,c,yes
98,00:05:27:00,00:05:28:02,00:00:01:02,Student 4,English,Why do you have to complicate it?,,,c,yes
99,00:05:28:11,00:05:29:01,00:00:00:20,Student 3,English,I don't know.,,,c,yes
100,00:05:29:09,00:05:30:01,00:00:00:22,Student 1,English,This is perfect.,,,c,yes
101,00:05:37:15,00:05:40:01,00:00:02:16,Student 4,English,Why is it so more complicated than the others?,,,c,yes
102,00:05:41:15,00:05:43:27,00:00:02:12,Teacher,English,You're upset it's complicated for...,,,c,
103,00:05:43:29,00:05:44:09,00:00:00:10,Student 4,English,Yes.,,,c,
104,00:05:44:10,00:05:45:27,00:00:01:17,Student 1,English,I just understand this top part.,,,c,
105,00:05:45:29,00:05:49:24,00:00:03:25,Student 4,English,We get it but then we do that thing and it makes no sense.,,,c,
106,00:05:50:04,00:05:52:20,00:00:02:16,Teacher,English,"I know, I understand that.",,,c,
107,00:05:53:18,00:05:56:11,00:00:02:23,Teacher,English,You're not always going to be able to see it this way.,,,c,
108,00:05:56:13,00:06:02:29,00:00:06:14,Teacher,English,"You're going to start getting equations with crazy numbers, positives and negatives, fractions.",,,c,
109,00:06:03:01,00:06:07:02,00:00:04:01,Teacher,English,So you wanna start making the connections.,,,c,
110,00:06:07:04,00:06:09:05,00:00:02:01,Teacher,English,"So, here, what did you do?",,,c,
111,00:06:09:28,00:06:11:28,00:00:02:00,Teacher,English,"You didn't get rid of one, what did you get rid of?",,,c,
112,00:06:13:08,00:06:15:17,00:00:02:09,Student 4,English,You get rid of three!,,,c,
113,00:06:15:18,00:06:17:00,00:00:01:12,Teacher,English,"You get rid of three, excellent.",,,c,
114,00:06:17:02,00:06:17:20,00:00:00:18,Teacher,English,Do you see that?,,,c,
115,00:06:17:27,00:06:21:07,00:00:03:10,Teacher,English,So start making those connections to what...,,,c,
116,00:06:21:08,00:06:22:04,00:00:00:26,Student 4,English,So that's negative.,,,c,
117,00:06:22:10,00:06:23:08,00:00:00:28,Teacher,English,"No, it's not.",,,c,
118,00:06:23:10,00:06:24:27,00:00:01:17,Teacher,English,You have two Z...,,,c,
