#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,selectable
25,00:04:01:31,00:04:14:20,00:00:12:49,Student 2,English,"Let's see. My estimate is 34 square units. My strategy was I counted the amount of full squares in the circle, not counting like the outside ring that wasn't like whole squares, more like half squares.",,,a,yes
26,00:04:16:11,00:04:22:26,00:00:06:15,Student 1,English,"I think you... I got 24. So, I don't know how I got 24.",,,a,yes
27,00:04:22:28,00:04:24:10,00:00:01:42,Student 3,English,I got 64.,,,a,yes
28,00:04:24:12,00:04:26:20,00:00:02:08,Student 1,English,"So, we all got something with 4.",,,a,yes
29,00:04:26:22,00:04:28:39,00:00:02:17,Student 2,English,Well. How did you get 64?,,,a,yes
30,00:04:29:20,00:04:36:33,00:00:07:13,Student 3,English,"Since we're counting area, I just did eight down and then going down and then diagonal.",,,a,yes
31,00:04:36:35,00:04:40:21,00:00:03:46,Student 2,English,"That wouldn't be completely accurate, since part of it is like half squares.",,,a,yes
32,00:04:40:23,00:04:41:18,00:00:00:55,Student 3,English,Mm-hmm.,,,a,yes
33,00:04:41:59,00:04:44:46,00:00:02:47,Student 1,English,"But then, I mean, what's Pi again? Pi is like 3...",,,a,yes
34,00:04:44:48,00:04:46:20,00:00:01:32,Student 3 and Student 2,English,3.14.,,,a,
35,00:04:47:04,00:04:49:26,00:00:02:22,Student 2,English,Which is the first three digits but it's infinite.,,,a,yes
36,00:04:49:28,00:04:58:49,00:00:09:21,Student 1,English,"So, then I counted the diameter. I counted across, and then I multiplied that by three. It was eight, and then I multiplied it by three.",,,a,yes
37,00:04:59:23,00:05:01:44,00:00:02:17,Student 3,English,"It was eight, so...",,,a,yes
38,00:05:01:46,00:05:02:51,00:00:01:05,Student 1,English,Let's see who's closest [crosstalk],,,a,yes
39,00:05:02:53,00:05:05:03,00:00:02:10,Student 2,English,Eight times Pi...,,,a,yes
40,00:05:05:05,00:05:06:13,00:00:01:08,Student 3 and Student 2,English,Equals.,,,a,
41,00:05:06:15,00:05:08:51,00:00:02:36,Student 2,English,...25.132.,,,a,yes
42,00:05:08:53,00:05:12:02,00:00:03:09,Student 3,English,That's probably [unintelligible] [crosstalk],,,a,yes
43,00:05:13:20,00:05:14:13,00:00:00:53,Student 1,English,Square.,,,a,yes
44,00:05:14:15,00:05:17:19,00:00:03:04,Student 2,English,"Partners estimate. We'll just, like, Student 3, you write down my estimation.",,,a,yes
45,00:05:17:21,00:05:18:17,00:00:00:56,Student 1,English,"Wait, no. You got...",,,a,yes
46,00:05:18:19,00:05:19:28,00:00:01:09,Student 3,English,You got 34.,,,a,yes
47,00:05:20:00,00:05:20:32,00:00:00:32,Student 2,English,Yeah.,,,a,yes
48,00:05:20:34,00:05:24:11,00:00:03:37,Student 1,English,"You got thirty-four. Wait, I'm writing down your estimate?",,,a,yes
49,00:05:24:13,00:05:25:23,00:00:01:10,Student 2,English,"No, you're writing down my estimate.",,,a,yes
50,00:05:25:25,00:05:26:13,00:00:00:48,Student 1,English,"Mine, okay, 34.",,,a,yes
51,00:05:26:15,00:05:31:42,00:00:05:27,Student 3,English,"Mine. So, you're writing down mine, and I'm writing down yours.",,,a,yes
52,00:05:31:44,00:05:33:08,00:00:01:24,Student 1,English,Four units.,,,a,yes
53,00:05:33:10,00:05:40:04,00:00:06:54,Student 3,English,"Who's writing? You're writing down [Student 1]'s. Wait no. [Student 2] is writing down mine, but [Student 2] is writing [Student 1]'s.",,,a,yes
54,00:05:40:06,00:05:44:20,00:00:04:14,Student 2,English,"You're supposed to write [Student 1]'s, and [Student 1] is supposed to write mine.",,,a,yes
55,00:05:44:22,00:06:03:25,00:00:18:59,Teacher,English,"Alright, let me give you guys some work time. Get your best, most accurate statement, and then I'm gonna send you to a different table to get someone else's strategy. So, you write strategies at your table, you figure it out for yourself, and then I'll send you somewhere else, to go get some ideas. Let's go.",,,a,
56,00:06:06:08,00:06:07:15,00:00:01:07,Student 1,English,Let me see the calculator.,,,a,yes
57,00:06:07:57,00:06:09:28,00:00:01:31,Student 2,English,"[Student 1], what was you estimate?",,,a,yes
58,00:06:09:30,00:06:13:12,00:00:03:42,Student 1,English,"It was 24. Oh, it was 25.",,,a,yes
59,00:06:13:14,00:06:15:03,00:00:01:49,Student 2,English,"[Student 3], what was you way of doing it?",,,a,yes
60,00:06:16:24,00:06:20:04,00:00:03:40,Student 3,English,"Just 8 times 8, so you get the area.",,,a,yes
61,00:06:20:38,00:06:20:56,00:00:00:18,Student 1,English,I was closest.,,,a,yes
62,00:06:20:58,00:06:22:42,00:00:01:44,Student 2,English,8 times 8.,,,a,yes
63,00:06:34:55,00:06:38:45,00:00:03:50,Student 3,English,"You just did 8 times Pi, right? Okay.",,,a,yes
64,00:06:38:47,00:06:39:14,00:00:00:27,Student 1,English,Yeah.,,,a,yes
65,00:06:39:16,00:06:39:52,00:00:00:36,Student 2,English,Yeah.,,,a,yes
66,00:06:40:08,00:06:41:48,00:00:01:40,Student 1,English,Eight times pi. Eight times [crosstalk],,,a,yes
67,00:06:41:50,00:06:44:18,00:00:02:28,Student 2,English,"[Student 3], this looks like [unintelligible]'s recorder.",,,a,yes
68,00:06:44:20,00:06:46:17,00:00:01:57,Student 3,English,"Yeah, it does actually.",,,a,yes
69,00:06:46:58,00:06:48:17,00:00:01:19,Student 2,English,Better not to figure it out. Remember?,,,a,yes
70,00:06:48:19,00:06:52:23,00:00:04:04,Student 1,English,"I won't, I know. Not knowing the number, my...",,,a,yes
71,00:06:52:25,00:06:53:15,00:00:00:50,Student 2,English,"Yeah, I know.",,,a,yes
72,00:06:53:17,00:06:54:37,00:00:01:20,Student 3,English,This also counts the time.,,,a,yes
73,00:06:54:39,00:06:55:36,00:00:00:57,Student 1,English,Pumpkin pie.,,,a,yes
74,00:06:56:14,00:07:03:08,00:00:06:50,Student 2,English,"That's cool. Pi times Pi, equals Pi. No, it doesn't.",,,a,yes
75,00:07:04:14,00:07:06:07,00:00:01:53,Student 3,English,Pi times Pi equals...,,,a,yes
76,00:07:06:09,00:07:08:23,00:00:02:14,Student 2,English,9.869604 [crosstalk],,,a,yes
77,00:07:08:25,00:07:10:30,00:00:02:05,Student 1,English,Pi times Pi equals two Pis.,,,a,yes
78,00:07:11:09,00:07:16:19,00:00:05:10,Student 3,English,"It's just Pi times 3, infinitely again.",,,a,yes
79,00:07:16:21,00:07:17:37,00:00:01:16,Student 2,English,Times Pi.,,,a,yes
80,00:07:17:39,00:07:21:38,00:00:03:59,Student 3,English,"So, it goes for an infinite number if you times Pi by Pi.",,,a,yes
81,00:07:23:57,00:07:27:07,00:00:03:10,Student 1,English,Pi is such a funny name. Pi.,,,a,yes
82,00:07:27:41,00:07:31:30,00:00:03:49,Student 2,English,"Point... Pi equals... Hey guys, look.",,,a,yes
83,00:07:31:32,00:07:33:02,00:00:01:30,Student 3,English,Math is sweet as Pi.,,,a,yes
84,00:07:33:04,00:07:34:01,00:00:00:57,Student 2,English,"No, it's not.",,,a,yes
85,00:07:34:03,00:07:35:20,00:00:01:17,Student 3,English,[unintelligible],,,a,yes
86,00:07:35:22,00:07:39:55,00:00:04:33,Student 2,English,"Pi, times Pi, times Pi, times Pi, times Pi.",,,a,yes
87,00:07:39:57,00:07:41:48,00:00:01:51,Student 3,English,"Okay, okay, we're getting... [Student 2].",,,a,yes
88,00:07:41:50,00:07:46:37,00:00:04:47,Student 2,English,"Times Pi, times Pi, times Pi, times Pi, times",,,a,yes
89,00:07:46:39,00:07:50:36,00:00:03:57,Student 3,English,"Student 2, we're getting sidetracked, let's... we're getting sidetracked.",,,a,yes
90,00:07:50:38,00:07:52:52,00:00:02:14,Student 2,English,"Pi point [crosstalk], but we did our stuff.",,,a,yes
91,00:07:52:54,00:07:57:25,00:00:04:31,Student 1,English,"Oh, what. That's a lot of Pi's. But you get to eat them?",,,a,yes
92,00:07:57:27,00:07:58:25,00:00:00:58,Student 2,English,Pi.,,,a,yes
93,00:07:58:27,00:07:59:24,00:00:00:57,Teacher,English,"Alright, give me a big thumbs-up if you have your estimate. ",,,a,
94,00:07:59:26,00:08:03:00,00:00:03:30,Student 3,English,I don't think you can eat an infinite number of pies.,,,a,
95,00:08:03:02,00:08:03:42,00:00:00:40,Student 1,English,"Alright, shh.",,,a,
96,00:08:06:57,00:08:08:23,00:00:01:26,Teacher,English,"Okay, great.",,,a,
97,00:00:00:01,00:00:03:43,00:00:03:42,Teacher,English,Now let's make sense of what else is happening.,,,a,
98,00:00:17:33,00:00:24:59,00:00:07:26,Teacher,English,"Why don't y'all--  What do you notice and what do you wonder here, with this animation.",,,a,
99,00:00:25:03,00:00:26:02,00:00:00:59,Student 1,English,Oh.,,,a,
100,00:00:26:02,00:00:31:24,00:00:05:22,Teacher,English,"So we know three radius squares has something todo with it.
Talk with your team.",,,a,
101,00:00:31:24,00:00:38:08,00:00:06:44,Student 2,English,I noticed they took the extra parts and then locked off and just shoved it inside in an organized way to create like--,,,a,
102,00:00:38:08,00:00:55:10,00:00:17:02,Student 1,English,"So I think if you draw like three squares, kind of in the circle area-- How do I explain that? And then you cut off the excess around the circle and put that in the missing place of the circle, you'll get the...",,,a,
103,00:00:55:56,00:00:58:43,00:00:02:47,Student 2,English,"But it doesn't evenly fit, though.",,,a,
104,00:00:58:44,00:00:59:07,00:00:00:23,Student 3,English,Yeah.,,,a,
105,00:00:59:07,00:01:02:40,00:00:03:29,Student 1,English,"Yeah, but I think it's implying that that's....",,,a,
106,00:01:03:12,00:01:04:29,00:00:01:17,Student 2,English,Like trying to fit?,,,a,
107,00:01:04:29,00:01:05:39,00:00:01:10,Student 3,English,Like it fits.,,,a,
108,00:01:05:39,00:01:08:03,00:00:02:24,Student 2,English,"Yeah, but you have to find, like, the most perfect squares.",,,a,
109,00:01:08:05,00:01:26:46,00:00:18:41,Teacher,English,"I'm gonna call for two things we noticed, two thing we are left wondering... [crosstalk]
Yeah, you can just wonder, that's fine.
[Other Student 1], what's something that was discussed at your table? What's something either you noticed or you wonder about this demonstration?",,,a,
110,00:01:39:42,00:01:47:37,00:00:07:55,Teacher,English,"What do you see, [Other Student 1]? What did you guys witness?
[Student A5], do you wanna share? go for it.",,,a,
111,00:01:48:09,00:01:52:49,00:00:04:40,Student 1,English,I noticed... I wondered why we left [unintelligible].,,,a,
112,00:01:53:08,00:01:55:21,00:00:02:13,Teacher,English,"Okay, great. Go ahead, [Student A4].",,,a,
113,00:01:55:53,00:02:06:27,00:00:10:30,Student 2,English,"[unintelligible] moving it, but it's still the same [unintelligible].",,,a,
114,00:02:06:27,00:02:20:41,00:00:14:14,Teacher,English,"Excellent. So you're saying that we move these little pieces, but [Student A5] is noticing there's still some tiny gaps. What else do we notice or wonder? [unintelligible]?",,,a,
115,00:02:20:41,00:02:27:08,00:00:06:27,Student 3,English,"Well, I just feel like it'd be really hard to do that without [unintelligible].",,,a,
116,00:02:29:23,00:02:34:55,00:00:05:32,Teacher,English,"But I mean, they all fit in there, don't they? I mean, are there still gaps?",,,a,
117,00:02:35:32,00:02:36:31,00:00:00:59,Student 2,English,Yes.,,,a,
118,00:02:36:35,00:02:49:10,00:00:12:35,Teacher,English,Okay. Let's get back to something we already know about circles. What's a special number you guys know about circles?,,,a,
119,00:02:49:19,00:02:50:24,00:00:01:05,Student 3,English,3.14?,,,a,
120,00:02:50:41,00:02:57:49,00:00:07:08,Teacher,English,"[Student 15], do you know that special number about circles? [crosstalk] Yeah, looking at you!",,,a,
121,00:02:58:07,00:03:00:40,00:00:02:29,Student 4,English,[unintelligible] I wonder a lot of [unintelligible].,,,a,
122,00:03:01:21,00:03:02:45,00:00:01:24,Teacher,English,What do you wonder about that?,,,a,
123,00:03:03:03,00:03:05:03,00:00:02:00,Student 4,English,Why they get that. How they get that.,,,a,
124,00:03:05:26,00:03:23:28,00:00:18:02,Teacher,English,"How they got that? Cool. Good idea.
So, what's a special number we know about circles? We've been talking about it for about a week now. Say it, [Other Student 2].
Hi, could you guys tell your neighbors? What we know about Pi and how we use it?",,,a,
125,00:03:24:03,00:03:25:59,00:00:01:56,Student 2,English,Pi we just kind of take the...,,,a,
126,00:03:26:23,00:03:29:23,00:00:03:00,Student 1,English,"[unintelligible] three, but not the number.  [crosstalk] All right, go on.",,,a,
127,00:03:29:30,00:03:37:28,00:00:07:58,Student 2,English,"The first three digits.
3.14, we should just take that, multiply a number by it, and that's how we think of Pi.",,,a,
128,00:03:37:28,00:03:38:17,00:00:00:49,Student 1,English,Yeah.,,,a,
129,00:03:38:20,00:03:51:24,00:00:13:04,Student 2,English,"And, the equation, like, we always take the tenths and the hundredths place, along with the whole numbers.  Also, blueberry pie with whipped cream is the best.",,,a,
130,00:03:52:06,00:03:54:57,00:00:02:51,Teacher,English,"Two, one...",,,a,
131,00:03:55:41,00:03:56:37,00:00:00:56,Student 3,English,"So, I kind of...",,,a,
132,00:03:56:37,00:04:38:57,00:00:42:16,Teacher,English,"Zero... [Student], what do we know about the number three as it relates to circles?
So we know the special relationship with circumference, but guess what. There's also a special relationship with circles. So let's go into the second part of activity 1. Where is that?
So where did the word radius square come from? go ahead and answer question number two...",,,a,
133,00:04:39:12,00:04:41:29,00:00:02:17,Student 1,English,"Oh, I could've looked at that!",,,a,
134,00:04:41:32,00:04:42:49,00:00:01:17,Teacher,English,...silently to yourself.,,,a,
135,00:04:43:08,00:04:44:03,00:00:00:55,Student 1,English,[crosstalk] Radius.,,,a,
136,00:04:44:03,00:04:52:15,00:00:08:12,Teacher,English,"I have some unfinished questions here. Go ahead, question number 2. Why do we think we call this a radius square?",,,b,
137,00:04:56:02,00:04:57:31,00:00:01:29,Student 2,English,Because...,,,b,
138,00:05:38:18,00:05:40:18,00:00:02:00,Student 1,English,ASMR.,,,b,
139,00:05:41:36,00:05:49:05,00:00:07:29,Teacher,English,"All right, just about everybody has finished question number 2, let's read question number 3 together please. Um...",,,b,
140,00:05:50:04,00:06:03:53,00:00:13:45,Student 3,English,"With the circle, when a radius square has an area of 16 square units. So how many of these radius squares do you think it would take to cover just the circles? Well, if it's 16 per [unintelligible] square, we should do...",,,b,
141,00:06:03:53,00:06:05:16,00:00:01:23,Student 2,English,"Four squared, sixteen.",,,b,
142,00:06:05:16,00:06:06:21,00:00:01:05,Student 3,English,"Exactly, which would be...",,,b,
143,00:06:06:21,00:06:32:06,00:00:25:45,Teacher,English,"All right, you are going to, now, read this with your team. So one person from each team is going to read it again. And you are going to decide how you think... Like how many of these radius squares you think would cover the circle. So I want you to think back to the animation you just saw. So go ahead and start by reading it, and then saying, ""I think...""",,,b,
144,00:06:32:06,00:06:52:51,00:00:20:45,Student 3,English,"How... I know like four squares would take that, but like... How many of those, how many square units, not...
And even though you could take four for each side, how many square units? So I think we should just do 16 times 4 to get the answer. [unintelligible]
Don't you think we should do 16 times 4 to get that answer?",,,b,yes
145,00:06:52:53,00:06:54:22,00:00:01:29,Student 1,English,"No, 16 times 3.",,,b,yes
146,00:06:55:14,00:06:56:14,00:00:01:00,Student 2,English,Really? Why?,,,b,yes
147,00:06:56:41,00:06:57:42,00:00:01:01,Student 1,English,I'm not tripping.,,,b,yes
148,00:06:57:59,00:06:58:39,00:00:00:40,Student 3,English,"Oh, cause...",,,b,yes
149,00:06:58:39,00:07:00:05,00:00:01:22,Student 1,English,"Wait, are you guys on the other one?",,,b,yes
150,00:07:00:05,00:07:04:39,00:00:04:34,Student 3,English,"Yeah, we're on 2. No. This one right here.",,,b,yes
151,00:07:06:05,00:07:06:45,00:00:00:40,Student 1,English,"Oh, yeah.",,,b,yes
152,00:07:07:15,00:07:07:36,00:00:00:21,Student 3,English,Yeah.,,,b,yes
153,00:07:08:00,00:07:08:42,00:00:00:42,Student 1,English,Two.,,,b,yes
154,00:07:09:05,00:07:09:57,00:00:00:52,Student 2,English,"Good, [Student 1].",,,b,yes
155,00:07:09:57,00:07:13:36,00:00:03:39,Student 1,English,But the animation showed only 3 squares. And then...,,,b,yes
156,00:07:13:36,00:07:24:21,00:00:10:45,Student 2,English,"Because it could mean that 3 would be only necessary, but 4 to get a perfect circle, we could just lop off the excess and get rid of it somehow.",,,b,yes
157,00:07:24:53,00:07:32:27,00:00:07:34,Student 1,English,"No, but I think... there wouldn't be any...
I don't know, I think...",,,b,yes
158,00:07:32:27,00:07:33:13,00:00:00:46,Student 3,English,"It says only, like...",,,b,yes
159,00:07:33:13,00:07:33:54,00:00:00:41,Student 1,English,I think it's 3.,,,b,yes
160,00:07:33:54,00:07:41:29,00:00:07:35,Student 2,English,"I mean, there wouldn't be any excess if there was 3, but you can't perfectly fill the circle unless there's 4.",,,b,yes
161,00:07:41:31,00:07:42:00,00:00:00:29,Student 3,English,Yeah.,,,b,yes
162,00:07:42:00,00:07:53:29,00:00:11:29,Student 2,English,"And then you could have some excess to do whatever you want with it.
Because if the only goal here is to fill the circle, 4 is necessary.",,,b,yes
163,00:07:53:30,00:07:54:05,00:00:00:35,Student 3,English,Yeah.,,,b,yes
164,00:07:54:26,00:07:59:14,00:00:04:48,Student 2,English,"If you aren't caring about what the excess is, it's 4.",,,b,yes
165,00:08:00:07,00:08:02:07,00:00:02:00,Student 3,English,"Cause only 3 would be, like...",,,b,yes
166,00:08:02:29,00:08:03:43,00:00:01:14,Student 2,English,Like a very...,,,b,yes
167,00:08:03:43,00:08:05:08,00:00:01:25,Student 3,English,Three fourths of it.,,,b,yes
168,00:08:05:17,00:08:05:36,00:00:00:19,Student 2,English,Yeah.,,,b,yes
169,00:08:05:36,00:08:15:45,00:00:10:09,Student 3,English,"It could, like... maybe to, like...  it could be like a little bit left still to probably also have to make up for that. The answer's... Is my clock still going?",,,b,yes
170,00:08:15:47,00:08:22:03,00:00:06:16,Student 2,English,"I mean, if we don't care about the excess 4, is correct. Three is still just gaps.",,,b,yes
171,00:08:22:04,00:08:24:04,00:00:02:00,Teacher,English,So somewhere between 3 and 4.,,,b,
172,00:08:24:23,00:08:25:07,00:00:00:44,Student 3,English,3 and a half?,,,b,
173,00:08:25:50,00:08:26:50,00:00:01:00,Teacher,English,"Not three and a half, no.",,,b,
174,00:08:26:50,00:08:27:43,00:00:00:53,Teacher,English,What was our special number?,,,b,
175,00:08:27:45,00:08:28:56,00:00:01:11,Student 3,English,It was 4...,,,b,yes
176,00:08:28:58,00:08:31:25,00:00:02:27,Student 2,English,3.14?,,,b,yes
177,00:08:31:40,00:08:32:39,00:00:00:59,Student 3,English,3.14?,,,b,yes
178,00:08:35:48,00:08:36:52,00:00:01:04,Student 1,English,3.14.,,,b,yes
179,00:08:36:52,00:08:48:10,00:00:11:18,Student 3,English,"So 16 times 3.14. Should we do that and just try to find like... Because it's not saying, like, how many squares need to be filled up. It's how many squares units need to fill up.",,,b,yes
180,00:08:48:10,00:08:51:05,00:00:02:55,Student 1,English,So it's 16... What's 16 times pi?,,,b,yes
181,00:08:51:34,00:08:55:27,00:00:03:53,Student 3,English,"Yeah. Or six... We could just do that with that, but it takes a little bit longer.",,,b,yes
182,00:08:55:35,00:08:56:07,00:00:00:32,Student 2,English,Okay.,,,b,yes
183,00:08:56:07,00:08:57:42,00:00:01:35,Student 3,English,"Just give us the answer, [Student 2].",,,b,yes
184,00:08:58:03,00:08:59:19,00:00:01:16,Student 2,English,16...,,,b,yes
185,00:08:59:33,00:09:06:30,00:00:06:53,Student 1,English,"So if you're trying to find the area of the circle you get the radius square's area first, and then you multiply that by pi.",,,b,yes
186,00:09:06:30,00:09:07:56,00:00:01:26,Student 2,English,50.26.,,,b,yes
187,00:09:08:09,00:09:11:11,00:00:03:02,Student 3,English,Let's do 50.26 since we're always doing the ...,,,b,yes
188,00:09:11:14,00:09:12:30,00:00:01:16,Student 1,English,50 point...,,,b,yes
189,00:09:12:30,00:09:14:30,00:00:02:00,Student 2,English,50 point 26.,,,b,yes
190,00:09:14:35,00:09:15:49,00:00:01:14,Student 1,English,2 6.,,,b,yes
191,00:09:15:49,00:09:17:04,00:00:01:15,Student 3,English,Square units.,,,b,yes
192,00:09:23:10,00:09:24:39,00:00:01:29,Student 2,English,"now, time for Pi.",,,b,yes
193,00:09:24:39,00:09:26:39,00:00:02:00,Student 3,English,[unintelligible] just gonna be with...,,,b,yes
194,00:09:27:33,00:09:29:47,00:00:02:14,Teacher,English,All right. Waterfall.,,,b,
195,00:09:30:01,00:09:30:57,00:00:00:56,Student 2,English,I have no idea...,,,b,
196,00:09:30:57,00:09:32:57,00:00:02:00,Student 3,English,If [unintelligible]'s gonna be with us...,,,b,
197,00:09:33:01,00:09:36:07,00:00:03:06,Teacher,English,About how many radius squares...,,,b,
198,00:09:36:07,00:09:37:45,00:00:01:38,Student 3,English,"No, like, just this class.",,,b,
199,00:09:38:04,00:09:39:00,00:00:00:56,Teacher,English,"Oh, I'm waiting.",,,b,
200,00:09:39:16,00:09:40:33,00:00:01:17,Student 3,English,Just us.,,,b,
201,00:09:40:40,00:09:54:52,00:00:14:12,Teacher,English,"About how many radius squares can...
Your team figured it out, but I don't know if everybody else did, so we wanna hear from you, okay?
About how many radius squares would fit in that circle? [Student 1]?",,,b,
202,00:09:55:24,00:09:57:44,00:00:02:20,Student 1,English,3.14 radius squares.,,,b,
203,00:09:57:44,00:10:05:30,00:00:07:46,Teacher,English,"So, we're talking about now multiplying the radius square by what number?",,,b,
204,00:10:06:07,00:10:06:39,00:00:00:32,Student 2,English,Pi?,,,b,
205,00:10:06:39,00:10:07:25,00:00:00:46,Student 1,English,Pi.,,,b,
206,00:10:07:50,00:10:21:08,00:00:13:18,Teacher,English,By Pi. So we could see 3 is way too little. 4 is what? Way too much. So at your table you guys have some scissors. Were gonna skip around a little bit.,,,c,
207,00:10:21:08,00:10:22:29,00:00:01:21,Student 3,English,The video is right there.,,,c,
208,00:10:22:47,00:10:50:43,00:00:27:56,Teacher,English,"And you have some circles... And your job is going to be to actually see how much of the radius square fits in here.
So can I have you guys do B, you guys do C. B, A. You guys do... what do you have?",,,c,
209,00:10:50:47,00:10:51:44,00:00:00:57,Student 3,English,Which one are we doing?,,,c,
210,00:10:52:59,00:10:54:01,00:00:01:02,Teacher,English,"And [Student 1], you guys do...",,,c,
211,00:10:54:01,00:10:56:01,00:00:02:00,Student 1,English,"Oh, there's that paper right there.",,,c,
212,00:10:57:53,00:11:04:46,00:00:06:49,Teacher,English,"A. All right, plot out out the radius squares and make it actually fit in your circle.",,,c,
213,00:11:07:35,00:11:10:17,00:00:02:42,Student 1,English,"Oh, I get it.",,,c,
214,00:11:11:04,00:11:12:01,00:00:00:57,Student 2,English,What do you get?,,,c,
215,00:11:12:30,00:11:15:09,00:00:02:39,Student 1,English,"Because I get the assignment, because I'm [unintelligible].",,,c,
216,00:11:15:09,00:11:16:01,00:00:00:52,Student 3,English,You sure?,,,c,
217,00:11:17:45,00:11:19:44,00:00:01:59,Student 3,English,"You sure you understand it, [Student 1]? ",,,c,
218,00:11:20:19,00:11:21:13,00:00:00:54,Student 3,English,[Student 1].,,,c,
219,00:11:23:18,00:11:27:45,00:00:04:27,Teacher,English,So do what the animation did. Do what the actual animation did.,,,c,
220,00:11:27:45,00:11:31:54,00:00:04:09,Student 1,English,So we only cut out 3? I believe.,,,c,yes
221,00:11:32:53,00:11:34:40,00:00:01:47,Student 3,English,3.14 to be exact.,,,c,yes
222,00:11:37:36,00:11:43:07,00:00:05:31,Student 1,English,"Okay, you need... 3.1... How are we gonna exactly get...  3.14.",,,c,yes
223,00:11:43:56,00:11:47:21,00:00:03:25,Student 3,English,"Well, we could just do .14 of the square...",,,c,yes
224,00:11:51:36,00:11:52:43,00:00:01:07,Student 1,English,We're doing circle A.,,,c,yes
225,00:11:52:43,00:12:01:02,00:00:08:15,Student 3,English,"Couldn't we just, like, do, like, 1 point... We can just do point 1 4 of the one square. And get 3.14.",,,c,yes
226,00:12:02:15,00:12:02:44,00:00:00:29,Student 2,English,What?,,,c,yes
227,00:12:04:27,00:12:05:24,00:00:00:57,Student 3,English,Or three point fourteen.,,,c,yes
228,00:12:08:02,00:12:08:49,00:00:00:47,Student 1,English,Actually...,,,c,yes
229,00:12:08:49,00:12:09:48,00:00:00:59,Student 3,English,ASMR.,,,c,yes
