"#",In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment_1,selectable,Segment,pronoun,ppron,i,we,you,shehe,they,ipron,cogproc,insight,cause,discrep,tentat,certitude,differ,time,focuspast,focuspresent,focusfuture
27,00:04:22:28,00:04:24:10,00:00:01:42,Student 3,English,I got 64.,,,a,yes,1,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,00:04:24:12,00:04:26:20,00:00:02:08,Student 1,English,"So, we all got something with 4.",,,a,yes,1,28.57,14.29,0,14.29,0,0,0,14.29,14.29,0,0,0,14.29,0,0,0,0,0,0
29,00:04:26:22,00:04:28:39,00:00:02:17,Student 2,English,Well. How did you get 64?,,,a,yes,1,16.67,16.67,0,0,16.67,0,0,0,16.67,16.67,16.67,0,0,0,0,0,16.67,0,0
30,00:04:29:20,00:04:36:33,00:00:07:13,Student 3,English,"Since we're counting area, I just did eight down and then going down and then diagonal.",,,a,yes,1,12.5,12.5,6.25,6.25,0,0,0,0,6.25,0,6.25,0,0,0,0,18.75,6.25,6.25,6.25
31,00:04:36:35,00:04:40:21,00:00:03:46,Student 2,English,"That wouldn't be completely accurate, since part of it is like half squares.",,,a,yes,1,15.38,0,0,0,0,0,0,15.38,30.77,0,7.69,7.69,0,7.69,7.69,7.69,0,7.69,0
32,00:04:40:23,00:04:41:18,00:00:00:55,Student 3,English,Mm-hmm.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,00:04:41:59,00:04:44:46,00:00:02:47,Student 1,English,"But then, I mean, what's Pi again? Pi is like 3...",,,a,yes,1,18.18,9.09,9.09,0,0,0,0,9.09,18.18,9.09,0,0,0,0,9.09,18.18,0,18.18,0
34,00:04:44:48,00:04:46:20,00:00:01:32,Student 3 and Student 2,English,3.14.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,00:04:47:04,00:04:49:26,00:00:02:22,Student 2,English,Which is the first three digits but it's infinite.,,,a,yes,1,22.22,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,22.22,0,0,22.22,0
36,00:04:49:28,00:04:58:49,00:00:09:21,Student 1,English,"So, then I counted the diameter. I counted across, and then I multiplied that by three. It was eight, and then I multiplied it by three.",,,a,yes,1,26.92,15.38,15.38,0,0,0,0,11.54,0,0,0,0,0,0,0,11.54,11.54,0,0
37,00:04:59:23,00:05:01:44,00:00:02:17,Student 3,English,"It was eight, so...",,,a,yes,1,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0
38,00:05:01:46,00:05:02:51,00:00:01:05,Student 1,English,Let's see who's closest [crosstalk],,,a,yes,1,40,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
39,00:05:02:53,00:05:05:03,00:00:02:10,Student 2,English,Eight times Pi...,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
40,00:05:05:05,00:05:06:13,00:00:01:08,Student 3 and Student 2,English,Equals.,,,a,,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0
41,00:05:06:15,00:05:08:51,00:00:02:36,Student 2,English,...25.132.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,00:05:08:53,00:05:12:02,00:00:03:09,Student 3,English,That's probably [unintelligible] [crosstalk],,,a,yes,1,25,0,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,25,0
43,00:05:13:20,00:05:14:13,00:00:00:53,Student 1,English,Square.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,00:05:14:15,00:05:17:19,00:00:03:04,Student 2,English,"Partners estimate. We'll just, like, Student 3, you write down my estimation.",,,a,yes,1,25,25,8.33,8.33,8.33,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,8.33
45,00:05:17:21,00:05:18:17,00:00:00:56,Student 1,English,"Wait, no. You got...",,,a,yes,1,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0
46,00:05:18:19,00:05:19:28,00:00:01:09,Student 3,English,You got 34.,,,a,yes,1,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,00:05:20:00,00:05:20:32,00:00:00:32,Student 2,English,Yeah.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,00:05:20:34,00:05:24:11,00:00:03:37,Student 1,English,"You got thirty-four. Wait, I'm writing down your estimate?",,,a,yes,1,33.33,33.33,11.11,0,22.22,0,0,0,11.11,0,0,0,11.11,0,0,11.11,0,11.11,0
49,00:05:24:13,00:05:25:23,00:00:01:10,Student 2,English,"No, you're writing down my estimate.",,,a,yes,1,33.33,33.33,16.67,0,16.67,0,0,0,16.67,0,0,0,16.67,0,0,0,0,16.67,0
50,00:05:25:25,00:05:26:13,00:00:00:48,Student 1,English,"Mine, okay, 34.",,,a,yes,1,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,00:05:26:15,00:05:31:42,00:00:05:27,Student 3,English,"Mine. So, you're writing down mine, and I'm writing down yours.",,,a,yes,1,45.45,45.45,27.27,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0
52,00:05:31:44,00:05:33:08,00:00:01:24,Student 1,English,Four units.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,00:05:33:10,00:05:40:04,00:00:06:54,Student 3,English,"Who's writing? You're writing down [Student 1]'s. Wait no. [Student 2] is writing down mine, but [Student 2] is writing [Student 1]'s.",,,a,yes,1,12.5,12.5,4.17,0,4.17,0,0,0,4.17,0,0,0,0,0,4.17,4.17,0,16.67,0
54,00:05:40:06,00:05:44:20,00:00:04:14,Student 2,English,"You're supposed to write [Student 1]'s, and [Student 1] is supposed to write mine.",,,a,yes,1,13.33,13.33,6.67,0,6.67,0,0,0,26.67,0,0,26.67,0,0,0,0,0,13.33,26.67
55,00:05:44:22,00:06:03:25,00:00:18:59,Teacher,English,"Alright, let me give you guys some work time. Get your best, most accurate statement, and then I'm gonna send you to a different table to get someone else's strategy. So, you write strategies at your table, you figure it out for yourself, and then I'll send you somewhere else, to go get some ideas. Let's go.",,,a,,1,22.81,21.05,5.26,1.75,14.04,0,0,1.75,14.04,7.02,0,0,3.51,0,3.51,5.26,0,5.26,3.51
56,00:06:06:08,00:06:07:15,00:00:01:07,Student 1,English,Let me see the calculator.,,,a,yes,1,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,00:06:07:57,00:06:09:28,00:00:01:31,Student 2,English,"[Student 1], what was you estimate?",,,a,yes,1,33.33,16.67,0,0,16.67,0,0,16.67,16.67,0,0,0,16.67,0,0,0,16.67,0,0
58,00:06:09:30,00:06:13:12,00:00:03:42,Student 1,English,"It was 24. Oh, it was 25.",,,a,yes,1,28.57,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,28.57,0,0
59,00:06:13:14,00:06:15:03,00:00:01:49,Student 2,English,"[Student 3], what was you way of doing it?",,,a,yes,1,33.33,11.11,0,0,11.11,0,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0
60,00:06:16:24,00:06:20:04,00:00:03:40,Student 3,English,"Just 8 times 8, so you get the area.",,,a,yes,1,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0
61,00:06:20:38,00:06:20:56,00:00:00:18,Student 1,English,I was closest.,,,a,yes,1,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0
62,00:06:20:58,00:06:22:42,00:00:01:44,Student 2,English,8 times 8.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
63,00:06:34:55,00:06:38:45,00:00:03:50,Student 3,English,"You just did 8 times Pi, right? Okay.",,,a,yes,1,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0
64,00:06:38:47,00:06:39:14,00:00:00:27,Student 1,English,Yeah.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,00:06:39:16,00:06:39:52,00:00:00:36,Student 2,English,Yeah.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,00:06:40:08,00:06:41:48,00:00:01:40,Student 1,English,Eight times pi. Eight times [crosstalk],,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
67,00:06:41:50,00:06:44:18,00:00:02:28,Student 2,English,"[Student 3], this looks like [unintelligible]'s recorder.",,,a,yes,1,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0
68,00:06:44:20,00:06:46:17,00:00:01:57,Student 3,English,"Yeah, it does actually.",,,a,yes,1,25,0,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,25,0
69,00:06:46:58,00:06:48:17,00:00:01:19,Student 2,English,Better not to figure it out. Remember?,,,a,yes,1,0,0,0,0,0,0,0,0,71.43,57.14,0,0,0,0,14.29,0,14.29,0,0
70,00:06:48:19,00:06:52:23,00:00:04:04,Student 1,English,"I won't, I know. Not knowing the number, my...",,,a,yes,1,33.33,33.33,33.33,0,0,0,0,0,33.33,22.22,0,0,0,0,11.11,0,0,0,11.11
71,00:06:52:25,00:06:53:15,00:00:00:50,Student 2,English,"Yeah, I know.",,,a,yes,1,33.33,33.33,33.33,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0
72,00:06:53:17,00:06:54:37,00:00:01:20,Student 3,English,This also counts the time.,,,a,yes,1,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,20,0
73,00:06:54:39,00:06:55:36,00:00:00:57,Student 1,English,Pumpkin pie.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,00:06:56:14,00:07:03:08,00:00:06:50,Student 2,English,"That's cool. Pi times Pi, equals Pi. No, it doesn't.",,,a,yes,1,20,0,0,0,0,0,0,20,10,0,0,0,0,0,10,10,0,20,0
75,00:07:04:14,00:07:06:07,00:00:01:53,Student 3,English,Pi times Pi equals...,,,a,yes,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25,0,0,0
76,00:07:06:09,00:07:08:23,00:00:02:14,Student 2,English,9.869604 [crosstalk],,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,00:07:08:25,00:07:10:30,00:00:02:05,Student 1,English,Pi times Pi equals two Pis.,,,a,yes,1,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,16.67,0,0,0
78,00:07:11:09,00:07:16:19,00:00:05:10,Student 3,English,"It's just Pi times 3, infinitely again.",,,a,yes,1,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,28.57,0,14.29,0
79,00:07:16:21,00:07:17:37,00:00:01:16,Student 2,English,Times Pi.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
80,00:07:17:39,00:07:21:38,00:00:03:59,Student 3,English,"So, it goes for an infinite number if you times Pi by Pi.",,,a,yes,1,15.38,7.69,0,0,7.69,0,0,7.69,7.69,0,0,0,7.69,0,7.69,7.69,0,7.69,0
81,00:07:23:57,00:07:27:07,00:00:03:10,Student 1,English,Pi is such a funny name. Pi.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0
82,00:07:27:41,00:07:31:30,00:00:03:49,Student 2,English,"Point... Pi equals... Hey guys, look.",,,a,yes,1,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0
83,00:07:31:32,00:07:33:02,00:00:01:30,Student 3,English,Math is sweet as Pi.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
84,00:07:33:04,00:07:34:01,00:00:00:57,Student 2,English,"No, it's not.",,,a,yes,1,33.33,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,33.33,0,0,33.33,0
85,00:07:34:03,00:07:35:20,00:00:01:17,Student 3,English,[unintelligible],,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,00:07:35:22,00:07:39:55,00:00:04:33,Student 2,English,"Pi, times Pi, times Pi, times Pi, times Pi.",,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,0
87,00:07:39:57,00:07:41:48,00:00:01:51,Student 3,English,"Okay, okay, we're getting... [Student 2].",,,a,yes,1,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
88,00:07:41:50,00:07:46:37,00:00:04:47,Student 2,English,"Times Pi, times Pi, times Pi, times Pi, times",,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.56,0,0,0
89,00:07:46:39,00:07:50:36,00:00:03:57,Student 3,English,"Student 2, we're getting sidetracked, let's... we're getting sidetracked.",,,a,yes,1,33.33,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0
90,00:07:50:38,00:07:52:52,00:00:02:14,Student 2,English,"Pi point [crosstalk], but we did our stuff.",,,a,yes,1,37.5,25,0,25,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,12.5,0,0
91,00:07:52:54,00:07:57:25,00:00:04:31,Student 1,English,"Oh, what. That's a lot of Pi's. But you get to eat them?",,,a,yes,1,30.77,15.38,0,0,7.69,0,7.69,15.38,7.69,0,0,0,0,0,7.69,0,0,7.69,0
92,00:07:57:27,00:07:58:25,00:00:00:58,Student 2,English,Pi.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,00:07:58:27,00:07:59:24,00:00:00:57,Teacher,English,"Alright, give me a big thumbs-up if you have your estimate.",,,a,,1,27.27,27.27,9.09,0,18.18,0,0,0,18.18,0,0,0,18.18,0,9.09,0,0,9.09,0
94,00:07:59:26,00:08:03:00,00:00:03:30,Student 3,English,I don't think you can eat an infinite number of pies.,,,a,,1,18.18,18.18,9.09,0,9.09,0,0,0,18.18,9.09,0,9.09,0,0,0,0,0,18.18,0
95,00:08:03:02,00:08:03:42,00:00:00:40,Student 1,English,"Alright, shh.",,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,00:08:06:57,00:08:08:23,00:00:01:26,Teacher,English,"Okay, great.",,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,00:00:00:01,00:00:03:43,00:00:03:42,Teacher,English,Now let's make sense of what else is happening.,,,a,,1,22.22,11.11,0,11.11,0,0,0,11.11,33.33,11.11,11.11,0,0,0,11.11,11.11,0,33.33,0
98,00:00:17:33,00:00:24:59,00:00:07:26,Teacher,English,"Why don't y'all--  What do you notice and what do you wonder here, with this animation.",,,a,,1,29.41,11.76,0,0,11.76,0,0,17.65,17.65,11.76,5.88,0,5.88,0,0,0,0,5.88,0
99,00:00:25:03,00:00:26:02,00:00:00:59,Student 1,English,Oh.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,00:00:26:02,00:00:31:24,00:00:05:22,Teacher,English,"So we know three radius squares has something todo with it.
Talk with your team.",,,a,,1,26.67,13.33,0,6.67,6.67,0,0,13.33,13.33,6.67,0,0,6.67,0,0,0,0,6.67,0
101,00:00:31:24,00:00:38:08,00:00:06:44,Student 2,English,I noticed they took the extra parts and then locked off and just shoved it inside in an organized way to create like--,,,a,,1,13.04,8.7,4.35,0,0,0,4.35,4.35,13.04,8.7,0,0,0,0,4.35,4.35,17.39,4.35,0
102,00:00:38:08,00:00:55:10,00:00:17:02,Student 1,English,"So I think if you draw like three squares, kind of in the circle area-- How do I explain that? And then you cut off the excess around the circle and put that in the missing place of the circle, you'll get the...",,,a,,1,16.28,11.63,4.65,0,6.98,0,0,4.65,13.95,6.98,2.33,0,6.98,0,2.33,2.33,0,0,2.33
103,00:00:55:56,00:00:58:43,00:00:02:47,Student 2,English,"But it doesn't evenly fit, though.",,,a,,1,16.67,0,0,0,0,0,0,16.67,33.33,0,0,0,0,0,33.33,0,0,16.67,0
104,00:00:58:44,00:00:59:07,00:00:00:23,Student 3,English,Yeah.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,00:00:59:07,00:01:02:40,00:00:03:29,Student 1,English,"Yeah, but I think it's implying that that's....",,,a,,1,50,12.5,12.5,0,0,0,0,37.5,37.5,25,0,0,0,0,12.5,0,0,25,0
106,00:01:03:12,00:01:04:29,00:00:01:17,Student 2,English,Like trying to fit?,,,a,,1,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0
107,00:01:04:29,00:01:05:39,00:00:01:10,Student 3,English,Like it fits.,,,a,,1,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0
108,00:01:05:39,00:01:08:03,00:00:02:24,Student 2,English,"Yeah, but you have to find, like, the most perfect squares.",,,a,,1,9.09,9.09,0,0,9.09,0,0,0,27.27,9.09,0,0,0,9.09,9.09,0,0,0,18.18
109,00:01:08:05,00:01:26:46,00:00:18:41,Teacher,English,"I'm gonna call for two things we noticed, two thing we are left wondering... [crosstalk]
Yeah, you can just wonder, that's fine.
[Other Student 1], what's something that was discussed at your table? What's something either you noticed or you wonder about this demonstration?",,,a,,1,36.36,15.91,2.27,4.55,9.09,0,0,20.45,25,11.36,0,2.27,13.64,0,6.82,0,9.09,13.64,2.27
110,00:01:39:42,00:01:47:37,00:00:07:55,Teacher,English,"What do you see, [Other Student 1]? What did you guys witness?
[Student A5], do you wanna share? go for it.",,,a,,1,28.57,14.29,0,0,14.29,0,0,14.29,9.52,0,0,4.76,0,0,4.76,0,4.76,0,4.76
111,00:01:48:09,00:01:52:49,00:00:04:40,Student 1,English,I noticed... I wondered why we left [unintelligible].,,,a,,1,37.5,37.5,25,12.5,0,0,0,0,37.5,25,12.5,0,12.5,0,0,0,25,0,0
112,00:01:53:08,00:01:55:21,00:00:02:13,Teacher,English,"Okay, great. Go ahead, [Student A4].",,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67
113,00:01:55:53,00:02:06:27,00:00:10:30,Student 2,English,"[unintelligible] moving it, but it's still the same [unintelligible].",,,a,,1,22.22,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,22.22,0,0,11.11,0
114,00:02:06:27,00:02:20:41,00:00:14:14,Teacher,English,"Excellent. So you're saying that we move these little pieces, but [Student A5] is noticing there's still some tiny gaps. What else do we notice or wonder? [unintelligible]?",,,a,,1,21.43,10.71,0,7.14,3.57,0,0,10.71,21.43,10.71,0,0,7.14,0,10.71,0,0,10.71,0
115,00:02:20:41,00:02:27:08,00:00:06:27,Student 3,English,"Well, I just feel like it'd be really hard to do that without [unintelligible].",,,a,,1,21.43,7.14,7.14,0,0,0,0,14.29,21.43,7.14,0,0,0,7.14,7.14,0,7.14,7.14,0
116,00:02:29:23,00:02:34:55,00:00:05:32,Teacher,English,"But I mean, they all fit in there, don't they? I mean, are there still gaps?",,,a,,1,25,25,12.5,0,0,0,12.5,0,18.75,12.5,0,0,0,0,6.25,0,0,12.5,0
117,00:02:35:32,00:02:36:31,00:00:00:59,Student 2,English,Yes.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,00:02:36:35,00:02:49:10,00:00:12:35,Teacher,English,Okay. Let's get back to something we already know about circles. What's a special number you guys know about circles?,,,a,,1,25,15,0,10,5,0,0,10,15,10,0,0,5,0,0,5,5,10,0
119,00:02:49:19,00:02:50:24,00:00:01:05,Student 3,English,3.14?,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,00:02:50:41,00:02:57:49,00:00:07:08,Teacher,English,"[Student 15], do you know that special number about circles? [crosstalk] Yeah, looking at you!",,,a,,1,20,13.33,0,0,13.33,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0
121,00:02:58:07,00:03:00:40,00:00:02:29,Student 4,English,[unintelligible] I wonder a lot of [unintelligible].,,,a,,1,14.29,14.29,14.29,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,0
122,00:03:01:21,00:03:02:45,00:00:01:24,Teacher,English,What do you wonder about that?,,,a,,1,50,16.67,0,0,16.67,0,0,33.33,16.67,16.67,0,0,16.67,0,0,0,0,0,0
123,00:03:03:03,00:03:05:03,00:00:02:00,Student 4,English,Why they get that. How they get that.,,,a,,1,50,25,0,0,0,0,25,25,25,12.5,25,0,0,0,0,0,0,0,0
